Date,Mkt-RF,SMB,HML,RF
201907,1.23,-1.96,0.5,0.19
201908,-2.55,-2.39,-4.77,0.16
201909,1.41,-0.97,6.76,0.18
201910,2.07,0.27,-1.92,0.15
201911,3.87,0.72,-2,0.12
201912,2.77,0.76,1.73,0.14
202001,-0.11,-3.1,-6.22,0.13
202002,-8.15,1.08,-3.82,0.12
202003,-13.37,-4.69,-13.83,0.12
202004,13.6,2.5,-1.34,0
202005,5.57,2.4,-5,0.01
202006,2.45,2.67,-2.17,0.01
202007,5.83,-2.35,-1.44,0.01
202008,7.62,-0.2,-3.02,0.01
202009,-3.64,0.06,-2.72,0.01
202010,-2.08,4.34,4.25,0.01
202011,12.45,5.81,2.09,0.01
202012,4.63,5.01,-1.68,0.01
202101,-0.07,7.14,3.22,0
202102,2.81,2.02,7.2,0
202103,3.16,-2.33,7.35,0
202104,4.95,-3.19,-1.02,0
202105,0.3,-0.2,7.04,0
202106,2.74,1.7,-7.86,0
202107,1.34,-3.93,-1.79,0
202108,2.94,-0.32,-0.23,0
202109,-4.4,0.66,5.12,0
202110,6.63,-2.26,-0.53,0
202111,-1.58,-1.31,-0.37,0
202112,3.23,-1.63,3.25,0.01
202201,-6.16,-5.93,12.86,0
202202,-2.28,2.16,3.06,0
202203,3.08,-1.55,-1.9,0
202204,-9.41,-1.35,6.18,0
202205,-0.34,-1.84,8.44,0.03
202206,-8.4,2.07,-6,0.06
202207,9.57,2.84,-4.15,0.08
202208,-3.77,1.41,0.18,0.19
202209,-9.34,-0.76,0.03,0.19
202210,7.85,0.01,7.97,0.23
202211,4.65,-3.57,1.48,0.29
202212,-6.38,-0.76,1.34,0.33
202301,6.61,5.01,-3.94,0.35
202302,-2.57,1.05,-0.8,0.34
202303,2.48,-5.48,-9.05,0.36
202304,0.62,-3.37,-0.12,0.35
202305,0.34,1.6,-7.79,0.36
202306,6.46,1.49,-0.13,0.4
202307,3.21,2.05,4.06,0.45
202308,-2.36,-3.14,-1.15,0.45
202309,-5.23,-2.51,1.49,0.43
202310,-3.15,-3.86,0.2,0.47
